UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type
434,M00433,M,299.8,309.86,1539,44.46,9,0,No Failure
435,M00434,M,302.12,309.1,1404,35.47,232,0,No Failure
436,M00435,L,300.44,310.99,1677,23.35,162,0,No Failure
437,M00436,L,302.48,311.31,1122,35.47,127,0,No Failure
438,M00437,H,300.41,309.76,1643,25.56,225,0,No Failure
439,M00438,L,299.42,308.86,1793,43.45,83,0,No Failure
440,M00439,L,299.17,308.62,1378,40.67,65,0,No Failure
441,M00440,L,300.31,308.27,1363,32.91,158,0,No Failure
442,M00441,M,300.7,308.39,1210,24.74,75,0,No Failure
443,M00442,M,298.62,308.49,1636,31.18,177,0,No Failure
444,M00443,L,299.85,309.86,1452,46.13,153,0,No Failure
445,M00444,L,297.56,308.03,1491,43.49,121,0,No Failure
446,M00445,M,297.54,306.01,1322,46.42,83,0,No Failure
447,M00446,L,301.39,311.01,1623,29.01,126,0,No Failure
448,M00447,L,300.85,311.77,1505,53.24,177,0,No Failure
449,M00448,M,301.86,311.4,1452,49.65,62,0,No Failure
450,M00449,L,300.42,309.71,1399,41.4,180,0,No Failure
451,M00450,M,300.63,313.04,1588,37.25,162,0,No Failure
452,M00451,L,303.69,311.71,1390,53.37,53,0,No Failure
453,M00452,M,298.54,307.58,1324,35.98,195,0,No Failure
454,M00453,L,300.71,309.4,1366,48.01,32,0,No Failure
455,M00454,M,303.18,312.59,1363,30.11,100,0,No Failure
456,M00455,H,304.07,317.84,1199,49.88,181,0,No Failure
457,M00456,L,301.24,310.0,1941,53.17,102,0,No Failure
458,M00457,H,299.94,309.61,1890,36.58,146,0,No Failure
459,M00458,H,298.12,307.48,1080,28.88,229,0,No Failure
460,M00459,L,299.84,308.93,1313,24.9,13,0,No Failure
461,M00460,L,300.43,311.43,1251,39.03,182,0,No Failure
462,M00461,L,300.17,309.64,1888,38.95,44,0,No Failure
463,M00462,M,301.1,312.41,1369,43.99,178,0,No Failure
464,M00463,L,301.22,312.94,1605,31.51,116,0,No Failure
465,M00464,L,299.22,308.68,1282,33.66,14,0,No Failure
466,M00465,L,298.41,310.13,1426,47.4,163,0,No Failure
467,M00466,H,299.56,308.18,1712,38.59,105,0,No Failure
468,M00467,M,300.96,311.4,2039,42.11,140,0,No Failure
469,M00468,M,303.26,314.54,1542,54.11,46,0,No Failure
470,M00469,M,296.98,305.82,1861,25.04,70,0,No Failure
471,M00470,M,302.17,312.16,1911,56.97,82,0,No Failure
472,M00471,L,299.56,310.2,1841,42.18,210,0,No Failure
473,M00472,L,302.21,312.98,1835,37.47,110,0,No Failure
474,M00473,L,303.72,314.21,1329,35.18,40,0,No Failure
475,M00474,H,301.06,313.52,1779,51.54,47,0,No Failure
476,M00475,L,297.91,307.82,1561,32.7,6,0,No Failure
477,M00476,M,299.3,310.82,1019,54.4,172,1,General Failure
478,M00477,M,300.79,313.41,1664,44.74,108,0,No Failure
479,M00478,M,299.46,308.8,1532,33.45,36,0,No Failure
480,M00479,L,299.96,309.54,1313,40.88,28,0,No Failure
481,M00480,M,298.6,307.45,1685,54.61,166,0,No Failure
482,M00481,L,299.66,310.6,1309,33.82,87,0,No Failure
483,M00482,L,298.89,310.67,1405,40.25,116,0,No Failure
484,M00483,M,301.73,309.72,1378,43.71,40,0,No Failure
485,M00484,M,300.67,309.65,1864,24.21,12,0,No Failure
486,M00485,L,301.5,310.85,1359,42.54,156,0,No Failure
487,M00486,H,296.96,309.71,1962,32.84,204,0,No Failure
488,M00487,H,299.22,308.86,1649,23.77,121,0,No Failure
489,M00488,L,298.66,309.21,1851,37.61,238,0,No Failure
490,M00489,L,299.25,307.9,1560,40.29,136,0,No Failure
491,M00490,L,298.4,309.54,1547,43.52,148,0,No Failure
492,M00491,M,298.69,307.53,1573,43.76,130,0,No Failure
493,M00492,L,303.09,313.11,1736,21.75,227,0,No Failure
494,M00493,L,299.56,308.42,1623,32.2,83,0,No Failure
495,M00494,H,297.67,307.66,1741,38.1,160,0,No Failure
496,M00495,L,299.51,309.43,1260,52.31,155,0,No Failure
497,M00496,H,304.37,314.74,1802,53.38,98,0,No Failure
498,M00497,M,301.42,311.77,1906,46.88,76,0,No Failure
499,M00498,L,298.3,310.56,1710,45.39,181,0,No Failure
500,M00499,M,299.59,308.82,1686,45.52,173,0,No Failure
501,M00500,M,299.93,311.63,1646,31.63,96,0,No Failure
502,M00501,M,300.13,310.62,1393,31.01,246,0,No Failure
503,M00502,L,296.53,306.42,1266,32.4,242,0,No Failure
504,M00503,L,298.25,308.73,1489,55.63,49,0,No Failure
505,M00504,L,299.74,310.15,1553,43.46,141,0,No Failure
506,M00505,L,296.77,307.89,1471,57.4,210,1,General Failure
507,M00506,L,299.71,310.79,1635,48.53,196,0,No Failure
508,M00507,L,300.19,311.04,1371,37.17,139,0,No Failure
509,M00508,L,301.54,311.96,1508,31.88,93,0,No Failure
510,M00509,L,302.09,310.3,1280,29.59,73,0,No Failure
511,M00510,L,299.7,310.84,1222,47.35,15,0,No Failure
512,M00511,L,300.49,311.93,1885,52.25,27,0,No Failure
513,M00512,L,301.35,311.92,1590,30.06,131,0,No Failure
514,M00513,M,301.99,312.47,1484,42.09,14,0,No Failure
515,M00514,L,300.2,309.31,1273,21.15,55,0,No Failure
516,M00515,L,298.62,309.07,1625,56.95,242,1,General Failure
517,M00516,H,301.19,312.34,1989,51.82,108,0,No Failure
518,M00517,L,301.69,310.24,1336,32.56,87,0,No Failure
519,M00518,L,300.34,309.9,1425,52.93,65,0,No Failure
520,M00519,L,301.15,310.63,1617,21.75,167,0,No Failure
521,M00520,M,303.1,314.69,1272,45.46,35,0,No Failure
522,M00521,L,299.1,308.67,1007,59.94,139,0,No Failure
523,M00522,L,298.72,306.66,1683,38.96,60,0,No Failure
524,M00523,M,297.99,308.26,1458,45.63,245,1,General Failure
525,M00524,H,300.73,312.4,1772,31.06,3,0,No Failure
526,M00525,M,301.88,311.77,1733,27.5,93,0,No Failure
527,M00526,L,299.1,308.66,1535,39.08,230,0,No Failure
528,M00527,H,303.52,313.86,1147,20.32,83,0,No Failure
529,M00528,M,298.96,311.05,1830,43.62,166,0,No Failure
530,M00529,L,300.59,310.36,1639,45.7,153,0,No Failure
531,M00530,L,299.86,309.62,1563,33.27,23,0,No Failure
532,M00531,L,302.72,313.29,1546,38.82,232,0,No Failure
533,M00532,L,298.88,308.03,1528,45.15,71,0,No Failure
534,M00533,L,303.22,311.28,1644,34.87,190,0,No Failure
535,M00534,M,299.75,310.0,1228,17.29,28,0,No Failure
536,M00535,M,297.52,307.17,1557,41.88,41,0,No Failure
537,M00536,M,299.0,309.5,1262,37.5,151,0,No Failure
538,M00537,L,299.78,310.01,1306,40.09,133,0,No Failure
539,M00538,M,303.29,313.99,1504,43.52,45,0,No Failure
540,M00539,M,299.17,307.96,1392,47.19,118,0,No Failure
541,M00540,L,300.06,310.52,1534,38.84,173,0,No Failure
542,M00541,M,304.04,313.03,1495,41.71,86,0,No Failure
543,M00542,M,300.38,310.87,1349,28.01,54,0,No Failure
544,M00543,M,298.87,308.43,1672,42.09,33,0,No Failure
545,M00544,L,298.66,310.73,1623,42.05,173,0,No Failure
546,M00545,M,297.09,306.11,1427,53.76,125,0,No Failure
547,M00546,L,300.74,308.12,1315,40.15,234,0,No Failure
548,M00547,H,302.37,312.59,1867,31.05,81,0,No Failure
549,M00548,L,299.37,308.88,1148,41.99,132,0,No Failure
550,M00549,M,298.04,307.0,1643,32.11,103,0,No Failure
551,M00550,M,300.57,310.88,1325,47.43,76,0,No Failure
552,M00551,L,300.06,312.07,1701,29.87,194,0,No Failure
553,M00552,L,299.77,309.63,1460,46.56,232,0,No Failure
554,M00553,L,300.89,310.11,1956,30.14,72,0,No Failure
555,M00554,L,300.09,311.82,1619,43.08,35,0,No Failure
556,M00555,L,299.33,310.7,1424,37.35,120,0,No Failure
557,M00556,M,301.93,311.98,1325,46.53,37,0,No Failure
558,M00557,H,296.47,305.86,1660,37.13,194,0,No Failure
559,M00558,M,297.85,308.73,1489,55.26,8,0,No Failure
560,M00559,L,299.47,308.67,1080,41.91,84,0,No Failure
561,M00560,L,297.41,306.69,1190,58.15,168,0,No Failure
562,M00561,M,302.88,311.92,1054,39.56,99,0,No Failure
563,M00562,L,295.8,306.45,1904,33.77,232,0,No Failure
564,M00563,L,301.33,313.12,1849,26.0,224,0,No Failure
565,M00564,M,301.07,311.14,1468,37.21,214,0,No Failure
566,M00565,L,300.63,312.74,1783,53.1,97,0,No Failure
567,M00566,L,300.79,308.46,1450,50.44,168,0,No Failure
568,M00567,L,298.88,308.85,1448,39.17,140,0,No Failure
569,M00568,H,298.59,306.56,1463,36.12,12,0,No Failure
570,M00569,H,302.68,313.73,1658,32.32,189,0,No Failure
571,M00570,L,299.69,311.19,1350,20.24,88,0,No Failure
572,M00571,M,297.16,305.03,1595,38.7,237,0,No Failure
573,M00572,L,297.6,306.67,1491,40.2,194,0,No Failure
574,M00573,M,297.02,307.05,1026,15.7,12,0,No Failure
575,M00574,L,300.48,308.67,1143,39.21,1,0,No Failure
576,M00575,L,302.15,311.06,1690,48.27,80,0,No Failure
577,M00576,M,299.36,308.11,1442,36.69,117,0,No Failure
578,M00577,L,300.24,310.24,1370,31.48,218,0,No Failure
579,M00578,L,299.0,308.02,1470,27.87,141,0,No Failure
580,M00579,L,301.67,310.22,1409,44.72,131,0,No Failure
581,M00580,H,301.66,310.6,1478,26.22,193,0,No Failure
582,M00581,M,301.76,311.51,1711,38.11,28,0,No Failure
583,M00582,L,303.44,313.4,1368,47.98,176,0,No Failure
584,M00583,H,297.65,307.28,1571,45.23,35,0,No Failure
585,M00584,M,301.55,312.83,1744,34.49,66,0,No Failure
586,M00585,L,297.05,306.47,1547,58.61,37,0,No Failure
587,M00586,L,301.41,311.38,959,48.57,151,0,No Failure
588,M00587,M,301.6,312.16,1810,36.6,95,0,No Failure
589,M00588,H,301.43,310.88,1212,50.45,9,0,No Failure
590,M00589,L,301.59,313.03,1366,35.97,78,0,No Failure
591,M00590,M,299.82,310.58,1641,38.59,96,0,No Failure
592,M00591,L,298.86,309.66,1965,36.76,105,0,No Failure
593,M00592,M,301.54,310.38,1666,40.57,55,0,No Failure
594,M00593,L,298.89,308.61,1524,37.66,102,0,No Failure
595,M00594,M,301.45,311.99,1404,40.67,63,0,No Failure
596,M00595,L,298.48,309.6,1352,34.75,120,0,No Failure
597,M00596,M,300.74,309.9,1245,25.78,109,0,No Failure
598,M00597,L,300.65,309.94,1701,54.88,46,0,No Failure
599,M00598,M,298.51,306.85,1469,49.52,120,0,No Failure
600,M00599,M,299.5,307.63,1520,33.88,168,0,No Failure
601,M00600,L,301.85,313.04,1150,47.58,1,0,No Failure
602,M00601,L,300.17,310.07,1539,23.88,161,0,No Failure
603,M00602,L,301.1,311.67,1077,33.86,214,0,No Failure
604,M00603,L,299.07,310.27,1615,36.53,79,0,No Failure
605,M00604,M,300.33,310.23,1951,60.15,12,0,No Failure
606,M00605,L,297.32,307.39,1254,47.18,66,0,No Failure
607,M00606,M,298.65,307.37,1191,25.87,65,0,No Failure
608,M00607,L,302.49,311.73,1811,50.87,114,0,No Failure
609,M00608,L,301.16,311.61,1351,37.36,163,0,No Failure
610,M00609,L,300.14,311.73,1794,29.55,205,0,No Failure
611,M00610,L,300.38,311.53,1161,37.21,177,0,No Failure
612,M00611,M,297.56,306.71,1574,41.11,7,0,No Failure
613,M00612,M,300.91,309.97,1732,39.77,19,0,No Failure
614,M00613,L,297.78,308.57,1585,44.24,67,0,No Failure
615,M00614,M,298.72,309.25,1257,28.15,49,0,No Failure
616,M00615,L,301.42,312.03,900,27.29,126,0,No Failure
617,M00616,M,298.69,308.98,1468,26.4,40,0,No Failure
618,M00617,L,299.11,310.59,1302,40.29,212,0,No Failure
619,M00618,L,299.92,310.23,1516,26.49,101,0,No Failure
620,M00619,L,300.27,311.95,1911,15.56,223,0,No Failure
621,M00620,M,302.62,313.25,1105,24.52,41,0,No Failure
622,M00621,M,296.83,306.86,1407,40.5,28,0,No Failure
623,M00622,M,299.28,307.99,1664,52.49,193,0,No Failure
624,M00623,H,301.17,311.56,1992,35.83,49,0,No Failure
625,M00624,L,299.12,310.18,1518,40.42,31,0,No Failure
626,M00625,L,299.3,309.52,1786,11.95,141,0,No Failure
627,M00626,L,298.49,307.38,1277,31.16,37,0,No Failure
628,M00627,M,299.45,307.3,1519,39.55,225,0,No Failure
629,M00628,M,301.26,310.95,1504,20.83,66,0,No Failure
630,M00629,M,302.39,314.46,1668,28.45,136,0,No Failure
631,M00630,L,300.69,309.4,1494,25.74,144,0,No Failure
632,M00631,L,302.64,312.11,1471,30.61,106,0,No Failure
633,M00632,M,300.22,310.44,1765,35.1,50,0,No Failure
634,M00633,L,296.88,308.03,1516,47.0,90,0,No Failure
635,M00634,L,301.46,310.34,1470,46.2,194,0,No Failure
636,M00635,L,296.2,306.27,1560,40.36,207,0,No Failure
637,M00636,M,299.91,310.27,1468,49.63,154,0,No Failure
638,M00637,L,300.02,308.67,1747,47.7,61,0,No Failure
639,M00638,M,297.87,308.36,1656,36.67,50,0,No Failure
640,M00639,L,299.63,308.45,1285,47.94,88,0,No Failure
641,M00640,M,298.99,309.2,1507,32.16,197,0,No Failure
642,M00641,L,300.28,311.03,1077,33.95,207,0,No Failure
643,M00642,M,299.44,309.57,1273,34.2,36,0,No Failure
644,M00643,M,301.17,309.75,1500,51.99,177,1,General Failure
645,M00644,M,299.3,310.13,1827,55.02,14,0,No Failure
646,M00645,M,301.17,312.03,1599,38.16,43,0,No Failure
647,M00646,M,300.02,310.22,1767,33.2,230,0,No Failure
648,M00647,L,300.48,311.46,1336,54.67,84,0,No Failure
649,M00648,M,300.25,309.73,1836,27.76,129,0,No Failure
650,M00649,L,299.12,308.18,1650,49.18,168,0,No Failure
651,M00650,M,302.13,311.94,1379,49.09,139,0,No Failure
652,M00651,L,301.12,311.7,1399,31.58,15,0,No Failure
653,M00652,L,295.73,306.79,1461,46.64,95,0,No Failure
654,M00653,L,297.71,306.93,1150,31.21,105,0,No Failure
655,M00654,L,303.24,313.5,1136,41.43,8,0,No Failure
656,M00655,L,299.5,309.71,1321,35.21,158,0,No Failure
657,M00656,M,305.33,314.77,1569,42.25,229,0,No Failure
658,M00657,M,300.84,308.51,1476,35.35,147,0,No Failure
659,M00658,L,300.88,308.9,1923,30.97,235,0,No Failure
660,M00659,M,299.15,310.24,1759,40.77,214,0,No Failure
661,M00660,L,299.61,307.84,1416,44.52,54,0,No Failure
662,M00661,L,300.32,308.23,1794,42.37,204,0,No Failure
663,M00662,L,301.74,310.05,1409,29.41,21,0,No Failure
664,M00663,M,300.2,309.79,1451,53.09,50,0,No Failure
665,M00664,L,299.93,311.41,1648,35.54,201,0,No Failure
666,M00665,M,298.15,308.56,2128,43.73,183,0,No Failure
667,M00666,L,299.12,308.55,1482,26.41,15,0,No Failure
668,M00667,L,299.2,308.81,1998,40.26,182,0,No Failure
669,M00668,H,299.74,310.23,1471,32.94,68,0,No Failure
670,M00669,L,298.6,308.63,1805,37.62,62,0,No Failure
671,M00670,L,297.91,305.85,1836,46.94,236,1,General Failure
672,M00671,L,299.37,310.77,1701,37.06,47,0,No Failure
673,M00672,M,295.31,306.36,1710,37.81,43,0,No Failure
674,M00673,L,297.09,305.83,1475,46.93,91,0,No Failure
675,M00674,L,298.37,308.08,1129,45.89,226,1,General Failure
676,M00675,L,300.64,311.13,1542,33.51,129,0,No Failure
677,M00676,L,298.57,308.89,1544,35.68,30,0,No Failure
678,M00677,M,297.82,307.42,1978,37.21,48,0,No Failure
679,M00678,L,301.12,311.21,1560,33.0,81,0,No Failure
680,M00679,H,299.59,311.7,1613,35.44,74,0,No Failure
681,M00680,L,302.39,312.04,1669,46.02,190,0,No Failure
682,M00681,M,299.41,310.56,1363,32.53,119,0,No Failure
683,M00682,L,298.48,308.78,1583,42.91,7,0,No Failure
684,M00683,M,299.1,307.78,1794,32.41,6,0,No Failure
685,M00684,M,303.12,313.89,1496,23.43,197,0,No Failure
686,M00685,L,302.68,313.12,1248,40.13,37,0,No Failure
687,M00686,M,300.07,311.46,1543,42.51,62,0,No Failure
688,M00687,L,301.73,313.63,1790,43.55,162,0,No Failure
689,M00688,L,297.16,308.43,1502,42.46,234,1,General Failure
690,M00689,M,302.12,312.54,1408,41.84,178,0,No Failure
691,M00690,L,300.4,311.08,1729,23.42,172,0,No Failure
692,M00691,H,299.6,310.63,1144,38.24,38,0,No Failure
693,M00692,M,299.8,308.92,1531,47.07,3,0,No Failure
694,M00693,H,300.22,309.11,1516,45.99,192,0,No Failure
695,M00694,M,298.89,309.85,1310,35.64,23,0,No Failure
696,M00695,L,299.01,307.77,1499,41.65,230,0,No Failure
697,M00696,M,297.44,307.17,1769,45.55,231,1,General Failure
698,M00697,M,302.64,314.76,1748,38.34,228,1,General Failure
699,M00698,L,298.01,309.12,1567,41.76,173,0,No Failure
700,M00699,L,299.37,310.87,1796,47.09,104,0,No Failure
701,M00700,L,301.58,311.59,1671,43.35,153,0,No Failure
702,M00701,M,301.93,313.32,1213,36.62,37,0,No Failure
703,M00702,L,302.31,311.39,1758,26.18,119,0,No Failure
704,M00703,L,298.5,307.61,1504,33.77,104,0,No Failure
705,M00704,L,298.76,308.6,1542,51.45,245,1,General Failure
706,M00705,M,299.45,308.67,1560,41.46,43,0,No Failure
707,M00706,L,296.09,307.63,1877,52.07,84,0,No Failure
708,M00707,L,301.19,311.03,1404,38.5,136,0,No Failure
709,M00708,H,296.47,305.13,1665,55.23,191,1,General Failure
710,M00709,M,299.27,310.33,1509,31.3,134,0,No Failure
711,M00710,L,301.21,312.06,1391,21.72,184,0,No Failure
712,M00711,L,301.08,312.47,1126,45.03,83,0,No Failure
713,M00712,H,298.66,307.3,1695,37.93,242,0,No Failure
714,M00713,H,301.2,310.22,1395,45.28,225,0,No Failure
715,M00714,L,301.5,308.89,1426,60.94,69,0,No Failure
716,M00715,L,296.31,306.75,1497,42.16,146,0,No Failure
717,M00716,L,298.98,308.89,1372,46.23,107,0,No Failure
718,M00717,L,300.71,310.04,1115,19.1,201,0,No Failure
719,M00718,L,300.29,311.84,1911,41.58,123,0,No Failure
720,M00719,M,299.07,308.18,1685,34.06,3,0,No Failure
721,M00720,L,299.27,308.66,1701,38.9,165,0,No Failure
722,M00721,H,303.81,312.76,1578,50.58,12,0,No Failure
723,M00722,L,298.79,307.57,1501,49.47,92,0,No Failure
724,M00723,L,301.46,311.37,1574,29.18,191,0,No Failure
725,M00724,M,297.24,306.98,1613,40.69,41,0,No Failure
726,M00725,L,300.48,310.01,1634,53.4,35,0,No Failure
727,M00726,M,301.45,310.09,1925,50.4,64,0,No Failure
728,M00727,L,298.73,307.1,1267,63.91,187,1,General Failure
729,M00728,M,298.36,307.58,1176,29.54,148,0,No Failure
730,M00729,L,303.03,312.87,1402,44.15,103,0,No Failure
731,M00730,M,299.2,308.1,1668,28.11,210,0,No Failure
732,M00731,L,301.51,310.93,1563,55.71,225,1,General Failure
733,M00732,H,296.89,306.39,1043,48.88,121,0,No Failure
734,M00733,L,302.83,311.65,1659,54.88,147,0,No Failure
735,M00734,M,295.92,304.08,1871,39.89,43,0,No Failure
736,M00735,L,297.94,307.67,1445,53.7,192,1,General Failure
737,M00736,H,298.57,310.33,1689,23.31,33,0,No Failure
738,M00737,L,299.61,310.08,1566,44.2,221,0,No Failure
739,M00738,M,300.1,309.88,1350,31.63,152,0,No Failure
740,M00739,H,302.76,311.87,1814,35.76,237,0,No Failure
741,M00740,L,303.69,312.88,1509,31.5,35,0,No Failure
742,M00741,L,303.33,314.51,1174,42.58,45,0,No Failure
743,M00742,H,301.36,309.98,1746,38.92,138,0,No Failure
744,M00743,L,300.22,312.26,994,30.91,28,0,No Failure
745,M00744,L,295.94,305.98,1996,34.71,3,0,No Failure
746,M00745,M,299.68,310.03,938,53.98,113,0,No Failure
747,M00746,M,298.75,308.35,1310,38.53,13,0,No Failure
748,M00747,H,301.03,312.17,1015,48.55,70,0,No Failure
749,M00748,L,297.96,309.07,1619,28.96,222,0,No Failure
750,M00749,L,298.29,307.46,1812,44.79,24,0,No Failure
751,M00750,L,298.46,310.64,1147,59.48,103,0,No Failure
752,M00751,L,301.08,311.35,1585,35.23,150,0,No Failure
753,M00752,L,300.19,308.49,1170,53.67,33,0,No Failure
754,M00753,M,297.94,308.56,1034,29.95,62,0,No Failure
755,M00754,M,296.62,307.05,1514,35.06,35,0,No Failure
756,M00755,M,298.8,309.07,1767,35.9,125,0,No Failure
757,M00756,L,298.67,309.73,1493,51.31,222,0,No Failure
758,M00757,H,298.84,310.17,1499,35.33,45,0,No Failure
759,M00758,M,300.02,308.7,1716,42.52,11,0,No Failure
760,M00759,M,301.24,311.06,1573,42.57,75,0,No Failure
761,M00760,M,301.35,311.24,1713,47.43,241,1,General Failure
762,M00761,H,298.61,308.71,1723,46.31,213,0,No Failure
763,M00762,L,298.44,306.4,1618,46.7,19,0,No Failure
764,M00763,M,302.74,313.09,1629,33.73,199,0,No Failure
765,M00764,L,299.44,309.56,1671,45.2,93,0,No Failure
766,M00765,L,301.26,313.56,1475,32.67,102,0,No Failure
767,M00766,H,300.26,309.32,1437,50.01,234,1,General Failure
768,M00767,L,300.63,310.11,1341,60.79,49,0,No Failure
769,M00768,L,302.93,313.51,1710,47.82,176,0,No Failure
770,M00769,M,299.48,309.52,1380,34.24,23,0,No Failure
771,M00770,M,302.02,313.1,1781,43.47,30,0,No Failure
772,M00771,L,300.95,312.42,1834,55.56,228,1,General Failure
773,M00772,M,299.68,308.69,1517,36.85,224,0,No Failure
774,M00773,L,299.08,309.26,1517,38.16,59,0,No Failure
775,M00774,L,298.97,309.78,1891,22.96,200,0,No Failure
776,M00775,L,302.15,311.32,1590,43.53,144,0,No Failure
777,M00776,L,301.85,314.51,2014,43.99,30,0,No Failure
778,M00777,L,298.38,308.78,1245,47.15,93,0,No Failure
779,M00778,H,300.74,310.98,1165,42.93,45,0,No Failure
780,M00779,L,296.55,304.83,1584,34.83,75,0,No Failure
781,M00780,H,300.09,309.34,1581,37.09,192,0,No Failure
782,M00781,L,303.87,311.57,1445,50.09,44,0,No Failure
783,M00782,H,297.73,308.57,1157,31.29,202,0,No Failure
784,M00783,M,300.56,309.67,1529,47.84,243,1,General Failure
785,M00784,L,298.83,308.94,1426,50.74,240,1,General Failure
786,M00785,H,300.16,310.63,1667,37.8,166,0,No Failure
787,M00786,L,297.99,308.24,1590,32.69,39,0,No Failure
788,M00787,M,300.35,309.89,1340,51.19,124,0,No Failure
789,M00788,M,295.58,306.47,1430,32.49,200,0,No Failure
790,M00789,M,299.5,308.2,1730,43.9,128,0,No Failure
791,M00790,L,299.38,307.19,1474,41.21,6,0,No Failure
792,M00791,L,299.8,308.07,1331,59.0,49,0,No Failure
793,M00792,H,303.8,314.68,1420,27.2,36,0,No Failure
794,M00793,H,297.78,309.42,1952,43.09,5,0,No Failure
795,M00794,L,298.66,307.85,2057,39.97,185,0,No Failure
796,M00795,M,297.37,306.71,1650,24.73,130,0,No Failure
797,M00796,L,300.91,311.35,1706,49.27,45,0,No Failure
798,M00797,L,299.98,308.37,1641,46.83,57,0,No Failure
799,M00798,H,297.72,307.09,1596,52.34,141,0,No Failure
800,M00799,L,301.71,309.98,1009,41.43,72,0,No Failure
801,M00800,M,300.46,310.47,2069,38.22,79,0,No Failure
802,M00801,M,302.65,309.15,1460,15.26,122,0,No Failure
803,M00802,M,301.38,309.52,1616,38.12,133,0,No Failure
804,M00803,H,300.09,307.96,1659,47.33,62,0,No Failure
805,M00804,L,298.44,308.27,1303,44.85,54,0,No Failure
806,M00805,M,295.83,306.31,1155,48.26,150,0,No Failure
807,M00806,M,298.77,308.64,1659,47.24,197,0,No Failure
808,M00807,L,302.06,314.4,1590,40.66,92,0,No Failure
809,M00808,L,299.45,309.41,1671,48.33,85,0,No Failure
810,M00809,M,298.29,307.07,1914,50.91,227,1,General Failure
811,M00810,L,300.36,309.72,1251,56.1,91,0,No Failure
812,M00811,M,301.29,311.99,1333,50.4,202,0,No Failure
813,M00812,L,305.19,315.64,1600,28.44,138,0,No Failure
814,M00813,L,298.0,310.46,1783,39.04,244,1,General Failure
815,M00814,H,299.22,309.37,1821,36.07,37,0,No Failure
816,M00815,L,297.71,306.52,1308,38.32,84,0,No Failure
817,M00816,M,298.48,307.11,1439,38.37,213,0,No Failure
818,M00817,L,301.61,312.47,1382,36.11,59,0,No Failure
819,M00818,H,299.66,306.28,1290,44.12,90,0,No Failure
820,M00819,M,297.07,307.45,1609,33.41,142,0,No Failure
821,M00820,L,302.4,313.32,1198,48.14,189,1,General Failure
822,M00821,M,303.23,312.62,1662,36.61,196,0,No Failure
823,M00822,M,301.37,311.57,1305,45.39,195,0,No Failure
824,M00823,H,297.95,309.42,1980,55.52,90,0,No Failure
825,M00824,M,297.8,309.49,1379,34.44,29,0,No Failure
826,M00825,M,302.3,313.86,1743,33.47,18,0,No Failure
827,M00826,L,297.9,309.0,1788,43.72,210,1,General Failure
828,M00827,M,298.76,308.5,1405,34.67,0,0,No Failure
829,M00828,M,297.05,305.57,1640,51.18,90,0,No Failure
830,M00829,L,303.49,310.92,1612,34.24,16,0,No Failure
831,M00830,L,298.55,310.59,1335,28.93,197,0,No Failure
832,M00831,H,299.5,310.67,1462,24.56,168,0,No Failure
833,M00832,L,298.39,306.81,2052,44.55,198,0,No Failure
834,M00833,M,298.52,309.75,1625,40.23,52,0,No Failure
835,M00834,L,297.58,307.0,1670,44.48,60,0,No Failure
836,M00835,L,301.93,311.25,1077,35.09,214,0,No Failure
837,M00836,L,298.5,306.99,1035,49.85,188,0,No Failure
838,M00837,M,302.59,314.98,1634,44.8,186,0,No Failure
839,M00838,L,297.34,305.64,1422,44.32,32,0,No Failure
840,M00839,M,300.71,309.3,1169,36.69,228,0,No Failure
841,M00840,L,301.64,312.4,1295,47.81,169,0,No Failure
842,M00841,L,297.57,308.49,1330,48.83,38,0,No Failure
843,M00842,L,300.24,310.8,1028,40.28,153,0,No Failure
844,M00843,L,298.68,307.39,1695,36.28,223,0,No Failure
845,M00844,M,297.65,307.36,978,26.98,187,0,No Failure
846,M00845,L,298.95,307.86,1996,41.22,141,0,No Failure
847,M00846,H,296.15,305.51,1032,43.22,45,0,No Failure
848,M00847,L,299.18,311.29,1295,21.1,230,0,No Failure
849,M00848,L,296.78,307.06,1665,48.67,197,1,General Failure
850,M00849,H,301.01,311.9,1560,40.15,89,0,No Failure
851,M00850,H,302.66,311.54,1743,43.92,170,0,No Failure
852,M00851,M,302.44,311.75,1319,39.49,78,0,No Failure
853,M00852,L,298.33,308.82,994,42.83,185,0,No Failure
854,M00853,L,299.48,310.88,1735,31.2,168,0,No Failure
855,M00854,L,303.55,313.32,1311,44.76,203,0,No Failure
856,M00855,L,302.2,313.95,1577,52.53,139,0,No Failure
857,M00856,L,300.96,313.79,1846,40.17,156,0,No Failure
858,M00857,L,295.64,303.47,1934,48.8,170,0,No Failure
859,M00858,L,299.11,309.08,983,49.06,28,0,No Failure
860,M00859,L,304.03,314.79,1622,39.73,157,0,No Failure
861,M00860,L,300.66,310.37,1143,44.28,228,1,General Failure
862,M00861,L,298.9,310.87,1317,48.56,62,0,No Failure
863,M00862,M,299.93,310.04,1245,51.77,138,0,No Failure
864,M00863,M,304.41,314.78,1892,40.57,185,0,No Failure
865,M00864,H,302.27,310.33,1554,40.38,142,0,No Failure
866,M00865,M,297.28,308.44,1283,44.85,236,1,General Failure
867,M00866,L,297.57,307.14,1739,51.01,79,0,No Failure
868,M00867,L,299.85,310.34,1270,28.94,143,0,No Failure
